"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Australia","AUS","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","1.41265327054874","1.31407754358574","1.20167827610086","1.09910173081136","0.949845526852034","0.884611936284032","0.789415165666","0.745060760989646","0.675255016522197","0.616133488280308","0.528543366881999","0.495805448204355","0.503751146933415","0.524755088416575","0.616352743416232","0.664591799290558","0.633574196250916","0.520081952307636","0.472060983285544","0.46114978542193","0.40426738349749","0.395272385723231","0.494191336327852","0.40846498668461","0.395501506672406","0.381079725890022","0.366902228532232","0.357351946047459","0.528584031122102","0.550713207598483","0.486107060218943","0.491260796238565","0.421049985546045","0.417187385135632","0.410961362453565","0.431700471629872","0.538146946834015","0.54490988450101","0.546100636348253","0.586857342100998","0.586093851256052","0.712995786235034","0.878273183861236","1.06307743918472","1.12745549114205","2.09943638409964","2.45609662823824","2.74673943015652","3.2159063326655","2.74088554787481","3.26774879181163","3.82738561756864","5.0070089363939","5.98467276391009","7.50088615344955","8.34165754966783","","","","","","","",
"Austria","AUT","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","0","0","0","0","0","0","0","0","0","0","0.609425785482124","0.826182540245373","0.729472774416595","0.653383361366283","0.637629097440503","0.624051756219048","0.729172647413447","0.731354479211316","0.801550017251904","0.823444535661865","0.778846153846154","1.18354400416607","1.12465964247662","1.33184027446869","1.93217003096272","2.1352475881304","2.90606453373354","1.81532764450169","2.17449998961557","2.24595666768386","2.28416098669263","2.40330005380522","2.61519053244959","2.6143154698176","2.27974899733262","3.32922541592664","2.93799230970247","3.07802819430726","3.34108388481488","2.75218639428533","2.6706082773825","2.90991861398136","2.74766909366455","3.61120195535054","4.85891392781042","6.10355575542357","8.26991619304499","9.89448631495438","9.83123866788576","9.4713191386694","9.74033620867312","10.6420220966084","10.7757240576335","12.8923315259489","14.4994806543755","16.493693635348","","","","","","","",
"Azerbaijan","AZE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0105999576001696","0.00534473543559594","0","0","0.295452599126488","0.372047880944678","0.409105638366818","","","","","","","",
"Burundi","BDI","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0.285608765234519","0.255234674103134","0.203341662991817","0.120960040744435","0.527000789434381","0.514250677426373","0.606877950101146","0.565067525569306","0.581406964895806","0.0920404978190404","0.0424145443328385","0.0447010616502142","0.0942071490783697","0.20652192776939","0.2374572817559","0.291287708588339","0.29606591204749","0.411142092983554","0.431264574494985","0.386500490127433","0.361077810127305","0.356036500749919","0.448881876054192","0.428544810881312","0.363468231849064","0.450807188547061","0.610560660221193","0.705544078383048","0.806431097204203","0.961217707162184","1.13091035291583","1.39888326437708","2.12113080306619","3.07416891923934","3.53829631660726","4.79523348049244","5.69115649288466","6.58830049129837","9.19068910508459","12.3754916014261","13.7468964510004","16.6722609157786","20.3427848392477","","","","","","","",
"Benin","BEN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5974025974026","1.36363636363636","1.31004366812227","0.78125","0.869565217391304","0","0","0","0","1.46198830409357","","","","","","","",
"Burkina Faso","BFA","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.26355421686747","0.266809920315158","0.267746691294843","","","","","","","",
"Bulgaria","BGR","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00241394293438903","0.0113708723733285","0.0439541119071689","0.109462701166826","0.309528081823076","0.585167881833841","1.58854336440881","2.03506387061952","4.51061637218489","6.60567925886368","5.93048777889062","6.37437938533503","","","","","","","",
"Bahrain","BHR","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Bahamas, The","BHS","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Belarus","BLR","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00320410124959949","0.0032298698362456","0.00943070007230203","0.0471268340192906","0.0970098151107053","0.200816434026863","0.243587906576873","0.298136645962733","0.327932725088477","0.406258926587742","0.374262271484094","0.501731119065782","","","","","","","",
"Belize","BLZ","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.769230769230769","1.05913503971756","1.02476515798463","0.942655145326002","1.11358574610245","1.32311977715877","1.19496855345912","0.987797791981406","1.20746432491767","1.97652872143298","1.77580466148724","1.88235294117647","1.6505406943654","1.44124168514412","1.23873873873874","1.30576713819369","1.68661588683351","1.84899845916795","1.57442748091603","1.38468195586326","1.62565905096661","1.69983416252073","1.6220294228593","1.55807365439093","1.49055978800927","1.45151327980235","1.38248847926267","1.34770889487871","1.33986086060294","1.39175257731959","1.35678391959799","1.2906309751434","1.24653739612188","1.1938978554057","1.1437908496732","1.13207547169811","1.25566794558772","1.66752621626268","1.97680117627839","1.75593920613841","1.68975069252078","1.60553452551886","0.743955362678239","2.29583095374072","2.52110694183865","","","","","","","",
