"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","3.84260515603799","3.76667538582265","3.58387019804343","3.61596588011682","3.37083513630463","3.25513434532024","3.39639566174672","3.70188003581021","3.01337321837058","2.99661470305513","2.73230573146931","2.38870350777244","2.90778061758914","2.60422888543782","2.60079544568354","2.48432601880878","2.5887249890463","2.62928212960943","2.487009496506","2.28875674180611","2.46410895433325","2.3965064261876","3.07617357413787","3.16587548239473","3.34207077326343","3.18024565969467","2.81387248220506","2.61851282657525","2.78831621479905","2.35564840887758","2.01216531798186","1.93361433087461","1.84136330746775","1.63934426229508","1.56449478888605","1.87869518570092","1.99105877221677","1.8308631211857","1.91674406822596","2.04430353687158","2.66452782233704","2.85880745740919","2.80241084110714","2.71058754016027","","","","","","","","",
"Afghanistan","AFG","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","2.63736263736264","2.66927083333333","2.65895953757225","2.62151829601311","2.43553008595988","2.55993498577814","2.8411083830235","2.82282282282282","3.58541729436577","3.63830925628678","3.70279548798431","3.91539153915391","2.17486818980668","1.73018470890811","2.37508402419897","1.04651162790698","2.53598355037697","1.95475510652317","2.82056845302669","1.11220958971824","1.0006671114076","0.923965351299327","0.922698380151732","1.02833638025594","1.11039931667734","1.02837554751476","0.985556499575192","5.54979253112033","3.50200803212851","4.65641952983725","3.6737491432488","2.69739426476365","2.17446592065107","2.67722473604826","3.44163658243081","4.91122024933887","5.49658832448825","4.11647760495848","1.81637223189848","5.84783064347097","5.07403751233958","6.69548422698427","7.07308248914616","6.45307267626029","","","","","","","","",
"Angola","AGO","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","8.91472868217054","18.1102362204724","24.0601503759398","23.4126984126984","15","18.9655172413793","3.58744394618834","2.4822695035461","2.88808664259928","2.45614035087719","1.86915887850467","1.51515151515151","0.76530612244898","0.498753117206982","0.25706940874036","0","0","0.255754475703325","0.238663484486876","2.56402546102808E-15","0.268096514745309","0.210970464135021","0","-2.20720283225677E-15","0","0.141643059490085","0.135135135135135","0.16260162601626","0.363636363636364","0.311203319502075","0.338696020321763","0.288392213410235","0.264375413086583","0.248756218905473","0.31308703819662","0.331858407079646","0.362694300518136","","","","","","","","",
"Albania","ALB","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","24.0932642487047","22.4719101123595","30.1020408163265","31.1435523114355","37.3271889400922","37.3931623931624","36.6935483870968","35.9430604982206","36.865671641791","21.8795888399413","26.4957264957265","26.6775777414075","25.8258258258258","25.0692520775623","27.6657060518732","29.1666666666667","28.1767955801105","29.8465829846583","19.4444444444444","31.3932980599647","25.1968503937008","13.5514018691589","11.1111111111111","8.3743842364532","4.32432432432433","5.91397849462366","3.4965034965035","2.84090909090909","17.4657534246575","16.2337662337662","16.1490683229814","14.6666666666667","15.7068062827225","12.2194513715711","8.90052356020942","13.9841688654354","11.6402116402116","8.62533692722372","5.03978779840849","6.10687022900764","6.03864734299517","6.89655172413793","6.5934065934066","6.55339805825243","","","","","","","","",
"Andorra","AND","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","5.53834237025562","5.33888022187554","5.11399620012666","4.77432442222705","4.32013656358742","4.30677778425316","4.02492593727653","3.88231197771588","3.8664010813118","3.55706963754105","3.0575238520337","2.93670115642118","3.16227721382795","3.58044419741078","2.71550573792367","2.96894383817994","2.98291799449734","3.35265054422527","3.15120487245123","1.55562341698252","1.81697039544767","1.43453696880373","1.21196493037648","1.00154745529574","1.2023037148102","1.08776233673456","1.09103001931366","1.11451160418261","1.11958645905566","1.09162031660656","1.23573927158829","1.09824939047159","1.15061643981966","1.2082028487726","1.53267512929008","1.51333237760734","1.56407191807324","1.47594433399602","1.48179540931003","1.33150928260371","1.28903072398473","1.1645013436554","1.19710413574526","1.11741575829974","","","","","","","","",
"United Arab Emirates","ARE","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Argentina","ARG","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS","","","","","","","","","","","","4.47326948721057","4.3931050993536","4.44342647732478","4.80989464040312","5.1056338028169","5.32855703571029","4.98924731182796","5.41535795516084","5.63365828630067","5.43238415467059","5.5868894327977","5.86072664359862","5.61655405405405","5.25920360631105","7.44159544159544","4.93519958527734","5.19133788193414","4.84188796096462","4.25064476072213","4.60857315355202","4.87781596029019","5.3204466547809","5.78643309727916","6.37075718015666","6.62460567823344","6.59349463227047","6.16207951070336","5.68114657210402","5.59942569992821","5.41917886879127","5.53485483620556","5.8876737110435","6.42917208164513","6.95420732955709","7.2073880746838","6.30080020162561","5.40556864166214","7.16105292952165","7.1475099188725","5.98664517614552","4.8128932553262","4.83323454927528","5.53681066430666","6.46536042825217","","","","","","","","",
