"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","28.966078697422","28.6790478681664","30.0930565497495","28.8952760650874","27.7801817395067","29.3692669859566","30.1027481040528","32.3231871083259","33.1866971669893","33.3723408701467","33.1381686382284","30.0439488890697","26.9032555411237","25.5047186716043","25.8363877407783","25.544670846395","24.3500803271506","25.0200014546512","23.4294929224153","22.9982021850366","21.3310400505458","19.2927643257829","16.1116330862651","15.5527475154537","15.1834862385321","16.0123147237122","16.4713009238225","16.7779879418371","15.6534345023287","15.3026311805492","12.697550643567","13.2586933614331","13.019286908356","13.6295128341874","14.7118219168543","14.0114593558107","12.1993239559481","11.325804424079","15.4352782234231","13.7130975418948","12.5955709256057","12.2709739633558","12.691466083151","13.0322390043946","","","","","","","","",
"Afghanistan","AFG","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","21.3186813186813","21.484375","21.3294797687861","21.5729109776079","20.7736389684814","20.8045509955303","17.432479831638","17.5675675675676","16.7219041880084","15.4895666131621","16.2089259440902","16.1116111611161","15.5755711775044","13.8180967968202","14.4073493166032","12.3255813953488","11.1491889421979","12.958488908412","12.3888045129095","12.7780523974296","11.4965532577274","11.376323387873","11.5234775476728","12.1343692870201","10.9758701686953","11.0836031232146","9.2268479184367","9.40525587828492","9.92771084337349","9.11693791440627","7.9095270733379","7.77792326829907","13.2756866734486","11.6892911010558","9.92779783393502","10.1120765646644","10.7025524387162","10.5016957081043","8.95745210251306","7.76566757493188","12.4679170779862","11.0733008369355","11.6226483357453","12.6527287537334","","","","","","","","",
"Angola","AGO","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","16.0493827160494","13.3333333333333","16.3636363636364","14.6666666666667","15.8163265306122","15.979381443299","20.5298013245033","17.4418604651163","16.1417322834646","16.1654135338346","17.8571428571429","19.5454545454545","18.9655172413793","31.390134529148","30.1418439716312","27.4368231046931","29.1228070175439","24.6105919003115","25.7575757575758","44.8979591836735","40.6483790523691","43.9588688946015","51.8957345971564","38.9952153110048","46.0358056265985","44.8687350835322","40.1847575057737","34.8525469168901","31.2236286919831","33.9092872570194","32.20675944334","32.3636363636364","25.9206798866856","28.3783783783784","27.9674796747967","23.7575757575758","23.5477178423236","17.7815410668925","15.7894736842105","15.5320555188367","15.1741293532338","13.9636819035692","9.07079646017699","7.7720207253886","","","","","","","","",
"Albania","ALB","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","35.2331606217617","39.1011235955056","25.5102040816327","26.0340632603406","21.889400921659","20.9401709401709","21.1693548387097","23.6654804270463","26.1194029850746","39.3538913362702","37.2649572649573","35.5155482815057","38.2882882882883","36.2880886426593","36.3112391930836","35.7758620689655","37.707182320442","34.3096234309623","45.4678362573099","37.7425044091711","37.007874015748","35.5140186915888","27.2727272727273","22.6600985221675","26.4864864864865","24.7311827956989","16.7832167832168","22.7272727272727","16.7808219178082","15.2597402597403","16.7701863354037","11.4666666666667","13.0890052356021","13.715710723192","11.7801047120419","17.9419525065963","16.9312169312169","13.4770889487871","20.6896551724138","26.4631043256997","26.8115942028986","18.3908045977011","15.9340659340659","22.0873786407767","","","","","","","","",
"Andorra","AND","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","26.1328427575523","25.3770150806032","25.7362254591514","26.8275012678403","26.5051539623137","25.9688793053208","25.932168760854","25.1088091922006","28.5267126698442","28.4964552067029","28.5722256318697","27.6450598498681","24.617579641671","19.4214780333032","19.8736767191531","19.3927542631258","19.5661210189822","19.101749693525","19.9099655750728","21.6152616357398","22.6806165814305","21.9061655612872","20.4759882292267","20.0280834479597","20.7250255734765","21.1567752631792","19.7664453909418","20.7090028054068","21.3213137489756","20.3716154269299","20.935549509591","20.5043161201046","19.6972286916946","18.6513789271644","19.1086036671368","19.3337395168805","20.7190087618982","20.2616302186879","19.7257391949265","20.8686683474673","20.8295962566659","20.4686774638586","20.2600314993292","19.5317555124185","","","","","","","","",
"United Arab Emirates","ARE","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","77.6422764227642","65.8914728682171","59.7523219814242","49.2581602373887","45.9349593495935","43.3281004709576","56.6037735849057","53.3877551020408","49.1373360938578","36.4724245577523","39.2198885555079","35.7198748043819","28.7970838396112","40.7151819322459","45.6765861875351","50.1749125437281","51.8091361374943","49.9449944994499","54.4929767173369","51.3398881819934","56.3651732882502","52.290008841733","49.6224198691055","51.7614762848864","51.7662263067203","51.8498143309036","52.0417482061318","50.1849253921694","47.9344994417566","42.1645997745209","44.9416342412451","39.9830759466892","36.3571934798016","32.2506905419564","31.4193141931419","29.6122413493306","34.168344744261","35.3768432550519","41.4353741496599","41.7397034596376","43.477441246701","41.5656268393172","41.4538536922811","36.9207091147466","","","","","","","","",
"Argentina","ARG","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","19.2993090071524","17.105578166148","17.4301420064132","18.9074667888227","18.0633802816901","18.8738385760663","15.9032258064516","17.2966533087837","16.4391995895331","15.7822843332983","14.7813131850591","15.3546712802768","14.2736486486486","16.4215949339916","16.9116809116809","13.4370139968896","15.633343221596","13.2776578774514","14.0987677906199","14.7212718856913","13.8125238640703","13.6154640142629","13.5669027208349","18.4682332463011","17.1284849518288","17.8977727928217","21.3837920489297","21.1583924349882","19.7272074659009","19.4372667240884","21.4097189877348","21.5607269139051","21.8102591544989","22.0569166723538","20.7990363380847","21.2904038812929","20.5109621308208","18.8678177186527","18.1915082607923","18.13262721621","17.3253118445745","16.1000053882213","16.5274628021461","16.8702250402786","","","","","","","","",
