"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","12.1495104580699","16.1105104944366","15.4913159148597","18.6077824440519","18.495371368906","19.3500482962416","20.8392493593894","19.5223335787361","18.8552591919062","16.4294871685256","15.5333171645557","14.8025844074112","14.3444573139774","12.8771081103985","12.9214809627637","12.623344744365","11.0092894809258","12.4060197394467","12.2617469915849","11.9427038761255","12.8979780212612","11.7140018979721","11.1310005079771","10.956611210441","10.9694670431788","10.4417630180872","10.1822381918907","12.2949356122989","12.6882637283906","13.0863014105512","14.5472479310422","15.0628425377343","13.9286953011803","13.8954818089824","14.6303350756939","15.5492632362412","15.2441848808811","15.221488869072","16.5014621850292","17.7975429098229","17.9091101123569","18.0617996642566","18.6977986408808","19.6951389738126","19.5414253038097","","","","","","","",
"Afghanistan","AFG","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","71.6441201223981","67.593372612867","68.1555551120062","74.0684127117393","69.1717037722539","67.8053834893572","63.3627262854315","57.0227592760243","59.5809160229338","58.4011651371707","57.2077426927513","55.3641491152422","43.7391845116768","42.6702080160519","49.6489942929752","52.4365854657447","49.0861376689968","51.862273327211","52.3043917501658","51.9676164823707","56.3152370063232","55.0962454068754","53.4437496443822","50.7234590713985","51.115453776733","50.5372892345327","50.3078778291423","44.9899698230451","46.4208020793176","49.4649082198889","47.9572479609197","42.6409577372677","42.0448545219112","41.6611621875165","40.1391584841327","35.8858026307077","33.0723891282139","37.9426038752037","37.3807889732078","34.5311524107916","33.9245002624051","31.7437303671913","30.7926701246101","30.4964568255702","27.1143024375175","","","","","","","",
"Angola","AGO","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","81.5363881401617","81.145584725537","82.7235772357724","69.8128559804719","72.7969348659004","73.1623931623932","73.1623931623932","90.2564102564103","88.0952380952381","88.1481481481482","88.1481481481482","87.6388888888889","73.8186462324393","89.7014925373134","86.9727047146402","86.9727047146402","86.5432098765432","86.0122699386503","86.6910866910867","86.2068965517241","82.6552462526767","88.70116156283","93.6842105263158","93.717277486911","93.75","89.9805447470817","76.3525305410122","80.4248861911988","66.9662921348315","63.1141868512111","62.0879120879121","64.7592067988669","62.2055137844612","78.405017921147","79.6482412060301","80.6110102843315","77.6188995958968","75.4090471607315","65.3431890179514","67.9574233804368","70.9078039285082","60.7994842037395","58.0209347614411","53.1751054852321","53.1749283080705","","","","","","","",
"Albania","ALB","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","57.1428571428571","62.0689655172414","66.2162162162162","68.4210526315789","71.9101123595506","74.5098039215686","76.5217391304348","77.4193548387097","78.8321167883212","79.4078061911171","81.3333333333333","83.0013280212483","84.6560846560847","73.6884584342211","67.6835081029552","79.5338817077947","76.2229806598407","73.7700803212851","74.6543778801843","86.4077669902913","92.1424829753798","95.0500883912787","93.9076225559649","95.686374016747","93.9861390565616","95.7204948177867","96.1744452945677","96.3202192209826","97.3291582243507","96.1490163248221","95.3083109919571","93.9539860888176","97.8565705128205","97.5026757046022","98.713944515892","98.3164373642288","97.4825174825175","100","99.9807766243752","99.9867864693446","98.5922214268671","100","100","100","100","","","","","","","",
"Andorra","AND","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","31.4013780109317","30.0325891996651","25.7019356838658","26.9683409106189","25.1097811218671","24.4865514263555","24.0988430332007","21.5068886492053","18.4671814832178","16.0594677255034","14.1149938749651","12.203962308642","10.1550872596191","9.19826141109226","8.12485182705023","7.57870495473321","7.87507384463829","7.33664596627957","7.4832525670267","7.17289317870086","6.62684679404163","5.7117510539973","5.33310722582268","5.26664896111394","5.0296265843983","5.24619912094025","5.1179828726169","4.7595180994848","4.79787922511813","4.3740073802595","4.48129638675115","3.63829118132215","3.79729440297209","3.74575163861857","4.30773889271252","3.95689205977301","3.94985905091724","3.1681479756053","3.096094752004","3.53511403676325","3.23769616555297","3.19879669536836","3.37887614145835","2.82499198265023","2.42992581018795","","","","","","","",
"United Arab Emirates","ARE","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Argentina","ARG","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","6.53572637995259","5.94325456413499","11.2298863508496","17.9892665474061","17.724840677504","16.5905480540111","17.7891586709036","23.1859783453969","28.3201827794161","38.140331436055","37.809933314452","44.1082083939227","42.8318954491547","44.2111817817907","45.6113995360654","42.872885333551","41.9704452429908","28.7734946215978","25.6676763477262","35.2305873078439","30.2500792570352","34.6879977094182","38.7602312589321","42.4155518005798","40.0387972841901","32.8789139855925","38.74934299704","35.7171809976761","26.5848111648253","32.3630637723541","41.0841702269323","42.4496465489681","36.7412800173856","30.389856736385","32.23402944327","35.5107655166606","28.2707256900805","25.0131574619256","27.7774588046162","26.8131850586366","30.6425842306356","27.2320408178313","29.3691309912423","29.6079396562957","26.2415750877847","","","","","","","",
